nome;idade;cpf;rg;data_nasc;sexo;signo;mae;pai;email;senha;cep;endereco;numero;bairro;cidade;estado;telefone_fixo;celular;altura;peso;tipo_sanguineo;cor
Heitor Calebe Oliveira;76;715.370.193-17;24.613.826-9;02/03/1947;Masculino;Peixes;Mariana Larissa Isabelly;Sérgio Theo Kevin Oliveira;heitor_calebe_oliveira@tricoproducts.com.br;omS8THwwsA;27516-070;Rua I;311;Eucaliptal;Resende;RJ;(24) 3747-3243;(24) 98874-5935;1.72;102;A+;laranja
Murilo Mário Drumond;36;434.752.878-70;22.539.570-8;15/02/1987;Masculino;Aquário;Juliana Flávia;Martin Pedro Drumond;murilo_drumond@policiamilitar.sp.gov.br;Dq87SLjpgo;56323-370;Rua do Mérito;426;Dom Avelar;Petrolina;PE;(87) 2877-9438;(87) 98648-7336;1.72;76;A+;vermelho
Mateus Carlos Benjamin das Neves;25;653.115.041-61;17.020.006-1;24/01/1998;Masculino;Aquário;Joana Jéssica;Nathan Ian Rodrigo das Neves;mateus_dasneves@megapremiumvip.com;sbLpP5USNC;68551-535;Avenida Antonio Luiz Testa;298;Jardim América;Redenção;PA;(94) 3878-7121;(94) 99941-4075;1.97;106;AB+;laranja
Henrique Kevin Caio da Paz;52;035.641.684-43;12.557.426-5;22/03/1971;Masculino;Áries;Olivia Giovana;Joaquim Enzo da Paz;henriquekevindapaz@cotamtambores.com.br;jokBrMNq44;85601-164;Rua Pedro Gazola;871;Marrecas;Francisco Beltrão;PR;(46) 2717-1723;(46) 98878-3578;1.77;65;B+;laranja
Bento Luís Campos;48;245.897.291-80;45.146.875-2;06/01/1975;Masculino;Capricórnio;Analu Elza;Breno Henrique Kauê Campos;bento.luis.campos@domain.com.br;q6fBc6N7dp;49065-500;Praça Liberato Costa;581;Industrial;Aracaju;SE;(79) 2613-1409;(79) 99484-3885;1.97;96;A+;verde
Paulo Pietro Caldeira;26;527.216.918-21;13.005.157-3;02/02/1997;Masculino;Aquário;Lívia Mirella;Kauê Bernardo Cláudio Caldeira;paulo_pietro_caldeira@diebold.com;qUcJfkFEa2;76876-586;Avenida Rio Branco;973;Jardim das Palmeiras;Ariquemes;RO;(69) 2917-4224;(69) 98915-1573;1.60;93;O+;roxo
Rodrigo Felipe Corte Real;38;881.706.982-51;33.653.471-1;20/01/1985;Masculino;Capricórnio;Josefa Mirella;Caio Juan Corte Real;rodrigofelipecortereal@bzness.com.br;dE3TGxJtJg;13059-636;Rua Ivo Cipriano;426;Cidade Satélite Íris;Campinas;SP;(19) 3862-9686;(19) 98267-6002;1.77;104;A+;vermelho
Ester Laís Nogueira;67;344.809.160-08;24.337.823-3;08/03/1956;Feminino;Peixes;Gabriela Alice Patrícia;Renan Leonardo Nogueira;ester.lais.nogueira@alemponte.com.br;OOb7h8DYGg;58064-784;Rua Estudante Josimar de Almeida Silva;487;Valentina de Figueiredo;João Pessoa;PB;(83) 2892-5101;(83) 99264-5661;1.84;68;B-;roxo
Ricardo Cauã da Cunha;30;640.666.776-06;14.255.570-8;14/01/1993;Masculino;Capricórnio;Larissa Rafaela Laura;Kevin Yuri da Cunha;ricardo.caua.dacunha@consorciobcv.com.br;GmCt9Gfoc3;75804-057;Rua Itarumã;805;Samuel Grahan;Jataí;GO;(64) 2880-6268;(64) 98453-6084;1.77;79;A+;amarelo
Louise Bianca Silveira;58;829.313.139-04;35.808.031-9;10/02/1965;Feminino;Aquário;Lavínia Emanuelly;Edson Juan Silveira;louise_bianca_silveira@sfreitasadvogados.com.br;EIuFHyF5Il;41385-010;Rua Léa Ariane;299;Sete de Abril;Salvador;BA;(71) 2551-2159;(71) 99977-4030;1.77;84;B-;laranja
Bianca Raimunda Mendes;31;804.547.463-77;49.725.579-0;12/04/1992;Feminino;Áries;Lúcia Gabriela Nicole;Elias Fábio Rafael Mendes;bianca_raimunda_mendes@hormail.com;gj77eh45CC;76913-607;Rua Sena Madureira;807;São Pedro;Ji-Paraná;RO;(69) 2934-9292;(69) 99139-7534;1.71;74;A-;verde
Jennifer Marlene Daiane Assis;26;312.720.044-73;21.807.226-0;05/02/1997;Feminino;Aquário;Giovanna Gabrielly Simone;Geraldo Isaac Thomas Assis;jennifer_assis@id.uff.br;GiKU7ebAyr;64011-215;Rua Rosana Neres;135;Santa Rosa;Teresina;PI;(86) 3862-2752;(86) 98847-4867;1.73;53;AB+;roxo
